Date, Open, High, Low, Close
05/22/17, 299.76, 300.70, 298.98, 300.63
05/19/17, 298.26, 299.10, 297.44, 298.08
05/18/17, 296.34, 298.78, 295.66, 298.47
05/17/17, 299.02, 299.95, 297.90, 299.34
05/16/17, 301.25, 301.65, 298.05, 299.67
05/15/17, 298.54, 299.84, 297.51, 298.87
05/12/17, 299.78, 300.10, 297.84, 298.25
05/11/17, 297.25, 300.22, 296.35, 299.75
05/10/17, 299.81, 304.26, 295.53, 296.19
05/08/17, 292.95, 299.86, 292.66, 299.86
05/04/17, 290.53, 292.47, 290.53, 292.47
05/02/17, 288.60, 291.12, 288.39, 289.65
04/28/17, 288.51, 289.02, 286.76, 287.21
04/27/17, 285.80, 287.76, 285.52, 287.34
04/26/17, 286.04, 287.22, 285.79, 286.78
04/25/17, 282.17, 285.47, 282.00, 285.41
04/24/17, 281.66, 282.04, 280.81, 281.96
